  0.133611E-02  0.195856E+08  0.195854E+08  0.339838E+06  0.373369E+06  0.000000E+00  0.195855E+08  0.195855E+08  0.195856E+08 -0.464582E+00  0.103075E+08  0.103075E+08  0.626603E+00
  0.149313E-02  0.195254E+08  0.195252E+08  0.190252E+06  0.220487E+06  0.000000E+00  0.195254E+08  0.195254E+08  0.195255E+08 -0.463150E+00  0.102758E+08  0.102758E+08  0.686497E+00
  0.166860E-02  0.194555E+08  0.194552E+08  0.177138E+06  0.207104E+06  0.000000E+00  0.194555E+08  0.194555E+08  0.194555E+08 -0.461487E+00  0.102389E+08  0.102389E+08  0.751596E+00
  0.186469E-02  0.193745E+08  0.193741E+08  0.117420E+06  0.150782E+06  0.000000E+00  0.193745E+08  0.193745E+08  0.193745E+08 -0.459563E+00  0.101962E+08  0.101962E+08  0.822341E+00
  0.208383E-02  0.192810E+08  0.192805E+08  0.195657E+05  0.604704E+05  0.000000E+00  0.192810E+08  0.192810E+08  0.192810E+08 -0.457343E+00  0.101469E+08  0.101469E+08  0.899192E+00
  0.232872E-02  0.191735E+08  0.191729E+08  0.140850E+05  0.594544E+05  0.000000E+00  0.191734E+08  0.191734E+08  0.191734E+08 -0.454790E+00  0.100903E+08  0.100903E+08  0.982633E+00
  0.260238E-02  0.190503E+08  0.190496E+08 -0.937020E+04  0.319737E+05  0.000000E+00  0.190502E+08  0.190502E+08  0.190502E+08 -0.451866E+00  0.100254E+08  0.100254E+08  0.107318E+01
  0.290821E-02  0.189098E+08  0.189088E+08 -0.153068E+05  0.149489E+05  0.000000E+00  0.189096E+08  0.189096E+08  0.189096E+08 -0.448530E+00  0.995142E+07  0.995141E+07  0.117140E+01
  0.324998E-02  0.187500E+08  0.187488E+08 -0.108353E+05  0.928399E+04  0.000000E+00  0.187498E+08  0.187498E+08  0.187498E+08 -0.444738E+00  0.986728E+07  0.986727E+07  0.127785E+01
  0.363192E-02  0.185691E+08  0.185676E+08 -0.149600E+05  0.443866E+04  0.000000E+00  0.185688E+08  0.185688E+08  0.185688E+08 -0.440445E+00  0.977204E+07  0.977202E+07  0.139312E+01
  0.405874E-02  0.183651E+08  0.183633E+08 -0.231168E+05 -0.417102E+04  0.000000E+00  0.183648E+08  0.183648E+08  0.183648E+08 -0.435605E+00  0.966465E+07  0.966463E+07  0.151782E+01
  0.453572E-02  0.181360E+08  0.181338E+08 -0.119540E+05 -0.161251E+04  0.000000E+00  0.181357E+08  0.181357E+08  0.181356E+08 -0.430170E+00  0.954405E+07  0.954403E+07  0.165252E+01
  0.506875E-02  0.178798E+08  0.178770E+08 -0.958539E+04 -0.164798E+04  0.000000E+00  0.178794E+08  0.178794E+08  0.178794E+08 -0.424091E+00  0.940918E+07  0.940915E+07  0.179776E+01
  0.512538E-02  0.178526E+08  0.178498E+08 -0.101775E+05 -0.200075E+04  0.000000E+00  0.178522E+08  0.178522E+08  0.178522E+08 -0.423445E+00  0.939486E+07  0.939483E+07  0.181289E+01
  0.518265E-02  0.178251E+08  0.178223E+08 -0.112967E+05 -0.279002E+04  0.000000E+00  0.178247E+08  0.178247E+08  0.178247E+08 -0.422793E+00  0.938039E+07  0.938036E+07  0.182812E+01
  0.524056E-02  0.177974E+08  0.177944E+08 -0.126754E+05 -0.379011E+04  0.000000E+00  0.177969E+08  0.177969E+08  0.177969E+08 -0.422134E+00  0.936577E+07  0.936574E+07  0.184346E+01
  0.529911E-02  0.177693E+08  0.177663E+08 -0.139648E+05 -0.471376E+04  0.000000E+00  0.177688E+08  0.177688E+08  0.177688E+08 -0.421468E+00  0.935099E+07  0.935096E+07  0.185892E+01
  0.535832E-02  0.177409E+08  0.177378E+08 -0.148301E+05 -0.529725E+04  0.000000E+00  0.177404E+08  0.177404E+08  0.177404E+08 -0.420794E+00  0.933605E+07  0.933602E+07  0.187448E+01
  0.541819E-02  0.177122E+08  0.177091E+08 -0.150464E+05 -0.538146E+04  0.000000E+00  0.177117E+08  0.177117E+08  0.177117E+08 -0.420114E+00  0.932095E+07  0.932092E+07  0.189016E+01
  0.547872E-02  0.176832E+08  0.176800E+08 -0.145650E+05 -0.496303E+04  0.000000E+00  0.176827E+08  0.176827E+08  0.176827E+08 -0.419426E+00  0.930569E+07  0.930566E+07  0.190595E+01
  0.553994E-02  0.176540E+08  0.176507E+08 -0.135281E+05 -0.419771E+04  0.000000E+00  0.176534E+08  0.176534E+08  0.176534E+08 -0.418731E+00  0.929027E+07  0.929024E+07  0.192185E+01
  0.560184E-02  0.176244E+08  0.176210E+08 -0.122245E+05 -0.335176E+04  0.000000E+00  0.176238E+08  0.176238E+08  0.176238E+08 -0.418029E+00  0.927469E+07  0.927466E+07  0.193786E+01
  0.566443E-02  0.175944E+08  0.175910E+08 -0.109960E+05 -0.271482E+04  0.000000E+00  0.175939E+08  0.175939E+08  0.175939E+08 -0.417319E+00  0.925894E+07  0.925891E+07  0.195399E+01
  0.572771E-02  0.175642E+08  0.175607E+08 -0.101254E+05 -0.250167E+04  0.000000E+00  0.175637E+08  0.175637E+08  0.175637E+08 -0.416602E+00  0.924303E+07  0.924300E+07  0.197023E+01
  0.579171E-02  0.175337E+08  0.175301E+08 -0.974178E+04 -0.277654E+04  0.000000E+00  0.175331E+08  0.175331E+08  0.175331E+08 -0.415878E+00  0.922696E+07  0.922692E+07  0.198658E+01
  0.585642E-02  0.175028E+08  0.174992E+08 -0.977941E+04 -0.342834E+04  0.000000E+00  0.175023E+08  0.175023E+08  0.175023E+08 -0.415145E+00  0.921071E+07  0.921068E+07  0.200304E+01
  0.592186E-02  0.174717E+08  0.174680E+08 -0.100066E+05 -0.420869E+04  0.000000E+00  0.174711E+08  0.174711E+08  0.174711E+08 -0.414406E+00  0.919430E+07  0.919427E+07  0.201962E+01
  0.598802E-02  0.174402E+08  0.174364E+08 -0.101187E+05 -0.482238E+04  0.000000E+00  0.174396E+08  0.174396E+08  0.174396E+08 -0.413659E+00  0.917772E+07  0.917769E+07  0.203632E+01
  0.605493E-02  0.174084E+08  0.174045E+08 -0.986288E+04 -0.503871E+04  0.000000E+00  0.174078E+08  0.174078E+08  0.174078E+08 -0.412904E+00  0.916098E+07  0.916094E+07  0.205312E+01
  0.612258E-02  0.173762E+08  0.173723E+08 -0.914808E+04 -0.478181E+04  0.000000E+00  0.173756E+08  0.173756E+08  0.173756E+08 -0.412141E+00  0.914405E+07  0.914402E+07  0.207004E+01
  0.619099E-02  0.173438E+08  0.173397E+08 -0.809391E+04 -0.416277E+04  0.000000E+00  0.173431E+08  0.173431E+08  0.173431E+08 -0.411371E+00  0.912696E+07  0.912692E+07  0.208707E+01
  0.626016E-02  0.173110E+08  0.173069E+08 -0.699510E+04 -0.343724E+04  0.000000E+00  0.173103E+08  0.173103E+08  0.173103E+08 -0.410592E+00  0.910970E+07  0.910966E+07  0.210422E+01
  0.633010E-02  0.172778E+08  0.172736E+08 -0.620918E+04 -0.290175E+04  0.000000E+00  0.172772E+08  0.172772E+08  0.172772E+08 -0.409806E+00  0.909226E+07  0.909222E+07  0.212148E+01
  0.640083E-02  0.172444E+08  0.172401E+08 -0.600960E+04 -0.276916E+04  0.000000E+00  0.172437E+08  0.172437E+08  0.172437E+08 -0.409012E+00  0.907464E+07  0.907460E+07  0.213885E+01
  0.647235E-02  0.172106E+08  0.172062E+08 -0.646469E+04 -0.307586E+04  0.000000E+00  0.172099E+08  0.172099E+08  0.172099E+08 -0.408211E+00  0.905685E+07  0.905681E+07  0.215634E+01
  0.654466E-02  0.171765E+08  0.171720E+08 -0.739756E+04 -0.366352E+04  0.000000E+00  0.171758E+08  0.171758E+08  0.171758E+08 -0.407401E+00  0.903888E+07  0.903884E+07  0.217394E+01
  0.661779E-02  0.171420E+08  0.171374E+08 -0.845021E+04 -0.424793E+04  0.000000E+00  0.171413E+08  0.171413E+08  0.171413E+08 -0.406583E+00  0.902073E+07  0.902069E+07  0.219165E+01
